NEW_DATE,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_6MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_5YEAR,BC_7YEAR,BC_10YEAR,BC_20YEAR,BC_30YEAR,BC_30YEARDISPLAY
2018-01-02T00:00:00,1.29,NaN,1.44,1.61,1.83,1.92,2.01,2.25,2.38,2.46,2.64,2.81,2.81
2018-01-03T00:00:00,1.29,NaN,1.41,1.59,1.81,1.94,2.02,2.25,2.37,2.44,2.62,2.78,2.78
2018-01-04T00:00:00,1.28,NaN,1.41,1.6,1.82,1.96,2.05,2.27,2.38,2.46,2.62,2.79,2.79
2018-01-05T00:00:00,1.27,NaN,1.39,1.58,1.8,1.96,2.06,2.29,2.4,2.47,2.64,2.81,2.81
2018-01-08T00:00:00,1.3,NaN,1.45,1.6,1.79,1.96,2.07,2.29,2.41,2.49,2.65,2.81,2.81
2018-01-09T00:00:00,1.27,NaN,1.44,1.6,1.78,1.98,2.09,2.33,2.46,2.55,2.72,2.88,2.88
2018-01-10T00:00:00,1.31,NaN,1.42,1.59,1.78,1.98,2.08,2.32,2.47,2.55,2.73,2.88,2.88
2018-01-11T00:00:00,1.32,NaN,1.43,1.58,1.77,1.98,2.09,2.32,2.46,2.54,2.72,2.91,2.91
2018-01-12T00:00:00,1.31,NaN,1.43,1.59,1.78,1.99,2.12,2.35,2.48,2.55,2.71,2.85,2.85
2018-01-16T00:00:00,1.33,NaN,1.45,1.63,1.79,2.03,2.12,2.36,2.48,2.54,2.69,2.83,2.83
2018-01-17T00:00:00,1.31,NaN,1.44,1.63,1.79,2.05,2.15,2.39,2.51,2.57,2.71,2.84,2.84
2018-01-18T00:00:00,1.29,NaN,1.45,1.63,1.79,2.05,2.17,2.43,2.55,2.62,2.77,2.9,2.9
2018-01-19T00:00:00,1.28,NaN,1.44,1.62,1.79,2.06,2.2,2.45,2.57,2.64,2.78,2.91,2.91
2018-01-22T00:00:00,1.27,NaN,1.44,1.65,1.79,2.08,2.21,2.46,2.59,2.66,2.79,2.93,2.93
2018-01-23T00:00:00,1.26,NaN,1.44,1.63,1.78,2.06,2.18,2.43,2.55,2.63,2.77,2.9,2.9
